n_zona,nome_zona,n_distrito,nome_distrito
1,Sé,80,Sé
2,Parque Dom Pedro,80,Sé
3,Praça João Mendes,80,Sé
4,Ladeira da Memória,67,República
5,República,67,República
6,Santa Ifigênia,67,República
7,Luz,9,Bom Retiro
8,Bom Retiro,9,Bom Retiro
9,Ponte Pequena,9,Bom Retiro
10,Canindé,57,Pari
11,Bom Jardim,57,Pari
12,Pari,57,Pari
13,João Teodoro,10,Brás
14,Oriente,10,Brás
15,Bresser,10,Brás
16,Brás,10,Brás
17,Gasômetro,10,Brás
18,Independência,14,Cambuci
19,Cambuci,14,Cambuci
20,Glicério,49,Liberdade
21,Aclimação,49,Liberdade
22,Pires da Mota,49,Liberdade
23,Centro Cultural,49,Liberdade
24,Liberdade,49,Liberdade
25,Treze de Maio,7,Bela Vista
26,Bexiga,7,Bela Vista
27,Bela Vista,7,Bela Vista
28,São Carlos do Pinhal,7,Bela Vista
29,Masp,7,Bela Vista
30,Higienópolis,26,Consolação
31,Vila Buarque,26,Consolação
32,Consolação,26,Consolação
33,Pacaembu,26,Consolação
34,FAAP,26,Consolação
35,Santa Cecília,70,Santa Cecília
36,Marechal Deodoro,70,Santa Cecília
37,Rudge,70,Santa Cecília
38,Catumbi,8,Belém
39,Belém,8,Belém
40,Quarta Parada,8,Belém
41,Belenzinho,8,Belém
42,Celso Garcia,8,Belém
43,Mooca,54,Mooca
44,Alto da Mooca,54,Mooca
45,Parque da Mooca,54,Mooca
46,Água Rasa,1,Água Rasa
47,Vila Bertioga,1,Água Rasa
48,Regente Feijó,1,Água Rasa
49,Ana Rosa,92,Vila Mariana
50,Jardim da Glória,92,Vila Mariana
51,Chácara Klabin,92,Vila Mariana
52,Vila Mariana,92,Vila Mariana
53,Santa Cruz,92,Vila Mariana
54,Vila Clementino,92,Vila Mariana
55,França Pinto,92,Vila Mariana
56,Rodrigues Alves,92,Vila Mariana
57,Paraíso,92,Vila Mariana
58,Bosque da Saúde,79,Saúde
59,Saúde,79,Saúde
60,Planalto Paulista,79,Saúde
61,Mirandópolis,79,Saúde
62,Parque Ibirapuera,53,Moema
63,Jardim Luzitânia,53,Moema
64,Moema,53,Moema
65,Vila Helena,53,Moema
66,Bandeirantes,53,Moema
67,Vila Nova Conceição,53,Moema
68,Chácara Itaim,34,Itaim Bibi
69,Vila Olímpia,34,Itaim Bibi
70,Hélio Pelegrino,34,Itaim Bibi
71,Brooklin,34,Itaim Bibi
72,Vila Cordeiro,34,Itaim Bibi
73,Berrini,34,Itaim Bibi
74,Campinas,44,Jardim Paulista
75,Pamplona,44,Jardim Paulista
76,Jardins,44,Jardim Paulista
77,Clínicas,44,Jardim Paulista
78,Oscar Freire,44,Jardim Paulista
79,Trianon,44,Jardim Paulista
80,Jardim Paulistano,63,Pinheiros
81,Jardim Europa,63,Pinheiros
82,Pinheiros,63,Pinheiros
83,Vila Madalena,63,Pinheiros
84,PUC,61,Perdizes
